"Word","Type","Content"
"a","CEBWORD","a"
"a","WORDTYPE","n"
"a","TEXT","letter A."
"a","CEBWORD","walay —"
"a","TEXT","illiterate."
"-a","CEBWORD","-a"
"-a","TEXT","subjunctive direct passive affix."
"-a","LINK","-un"
"-a(←)","CEBWORD","-a(←)"
"-a(←)","NUMBER","1"
"-a(←)","TEXT","affix added to nouns forming words which refer to a specific one of several:"
"-a(←)","CEBPHRASE","Kanang isdáa, dílì kadtu,"
"-a(←)","TEXT","That fish there, not that one further over."
"-a(←)","CEBPHRASE","Háing baláya ang íla?"
"-a(←)","TEXT","Which house is theirs?"
"-a(←)","NUMBER","1a"
"-a(←)","TEXT","added to possessive pronouns: the particular one that belongs to [so-and-so]."
"-a(←)","CEBPHRASE","Dakù ang amúang balay, gamay tung iláha,"
"-a(←)","TEXT","Our house is large, and theirs is small."
"-a(←)","NUMBER","2"
"-a(←)","TEXT","affix added to adjectives to form exclamation."
"-a(←)","CEBPHRASE","Dakúa uy!"
"-a(←)","TEXT","My! How big it is!"
"-a(←)","CEBPHRASE","Patyun tikaw, irúa ka!"
"-a(←)","TEXT","I’ll kill you, you dog you!"
"-a(←)","CEBPHRASE","Ngilngígang awtúha à!"
"-a(←)","TEXT","That’s some car!"
"á","CEBWORD","á"
"á","TEXT","particle used as a pause word before starting to speak."
"á","NUMBER","1"
"á","TEXT","as a filler."
"á","CEBPHRASE","á, muanhi ka ugmà?"
"á","TEXT","Um, are you going to come here tomorrow?"
"á","NUMBER","2"
"á","TEXT","deprecating or showing unimportance of what just preceded."
"á","CEBPHRASE","á, paríha ra nákù,"
"á","TEXT","Oh, it’s all the same to me."
"á","CEBPHRASE","á, nagkumidiya lang siya,"
"á","TEXT","Oh, he’s just joking."
"á","NUMBER","3"
"á","TEXT","showing mild disapproval."
"á","CEBPHRASE","á, dì nà mahímù,"
"á","TEXT","Oh, you can’t do that."
"á","NUMBER","4"
"á","TEXT","recalling or conceding s.t."
"á","CEBPHRASE","á, duha diay tu,"
"á","TEXT","Oh, yes. There were two of them, weren’t there."
"á","NUMBER","4a"
"á","TEXT","preceding s.t. just found out."
"á","CEBPHRASE","á, Lítu diay ímung ngálan,"
"á","TEXT","Oh, so your name is Lito."
"á","CEBPHRASE","á, kanindut,"
"á","TEXT","Oh, how nice!"
"á","NUMBER","5"
"á","TEXT","expressing relief."
"á","CEBPHRASE","á, nahuwasan ku,"
"á","TEXT","Ah, what a relief!"
"à","CEBWORD","à"
"à","TEXT","particle preceding or following a sentence with an adjective predicate."
"à","NUMBER","1"
"à","TEXT","dismissing s.t. as impractical, too easy, impossible, etc."
"à","CEBPHRASE","à, mu ra diay nà? Kasayun à!"
"à","TEXT","Oh, is that all there is to it? How easy it is!"
"à","CEBPHRASE","à, ása man ku mutúu nímu,"
"à","TEXT","Hm, you think I could believe you?"
"à","NUMBER","2"
"à","TEXT","showing disapproval."
"à","CEBPHRASE","à, hináya nímung mulíhuk,"
"à","TEXT","Hm! You sure work slowly!"
"à","NUMBER","3"
"à","TEXT","showing surprise."
"à","CEBPHRASE","à, kanindut nímug sinínà,"
"à","TEXT","How come you have such a beautiful dress on!"
"ā̀","CEBWORD","ā̀"
"ā̀","LINK","álà"
"aba<sub>1</sub>","CEBWORD","aba<sub>1</sub>"
"aba<sub>1</sub>","WORDTYPE","n"
"aba<sub>1</sub>","TEXT","breast of fowls."
"aba<sub>2</sub>","CEBWORD","aba<sub>2</sub>"
"aba<sub>2</sub>","TEXT","exclamation of pleasure and surprise."
"aba<sub>2</sub>","CEBPHRASE","Aba! Nakadaug ku,"
"aba<sub>2</sub>","TEXT","My! I won!"
"ábà tuy","CEBWORD","ábà tuy"
"ábà tuy","TEXT","(from <i lang=""cebword"">sábà dihà untuy</i>) shut up!"
"ábà tuy","CEBPHRASE","ábà tuy, maáyu ka lang sa tayáda, wà kay tadtad,"
"ábà tuy","TEXT","Shut up! You’re great at talking, but let’s see you do s.t."
"abaa","CEBWORD","abaa"
"abaa","TEXT","particle indicating disapproval (literary)."
"abaa","CEBPHRASE","Abaa! Mahū́g ka gánì dihà!"
"abaa","TEXT","Stop that! You might fall!"
"*abab","CEBWORD","*abab"
"*abab","CEBWORD","taga-"
"*abab","WORDTYPE","n"
"*abab","TEXT","hillbilly."
"*abab","CEBWORD","pakataga-"
"*abab","WORDTYPE","v"
"*abab","CLASS","[A13; a12]"
"*abab","TEXT","act, treat like, consider a hillbilly."
"*abab","CEBPHRASE","Gipakatagaabab lang ku ninyu. Ihása,"
"*abab","TEXT","You just think I’m a hillbilly. Don’t try to fool me."
"*abab","CEBWORD","— disáya"
"*abab","WORDTYPE","a"
"*abab","TEXT","be the boss and not henpecked."
"ab-ab","CEBWORD","ab-ab"
"ab-ab","WORDTYPE","v"
"ab-ab","CLASS","[A; a]"
"ab-ab","NUMBER","1"
"ab-ab","TEXT","chew to pieces."
"ab-ab","CEBPHRASE","Ab-ábun sa irù ang íyang hikut,"
"ab-ab","TEXT","The dog will chew up his rope."
"ab-ab","NUMBER","2"
"ab-ab","TEXT","eat away, erode."
"ab-ab","CEBPHRASE","Ang pagluib ni Maríya nag-ab-ab sa íyang balatían,"
"ab-ab","TEXT","Maria’s infidelity ate away at his insides."
"ab-ab","CEBPHRASE","Giab-ab ang íyang pinútì sa tayà,"
"ab-ab","TEXT","His sword was eaten away by rust."
"ab-ab","NUMBER","3"
"ab-ab","TEXT","fester."
"ab-ab","CEBPHRASE","Ang nag-ab-ab kung núka,"
"ab-ab","TEXT","My festering wound.†"
"abad","CEBWORD","abad"
"abad","WORDTYPE","n"
"abad","TEXT","abbot."
"ábag","CEBWORD","ábag"
"ábag","WORDTYPE","v"
"ábag","CLASS","[A; b]"
"ábag","TEXT","give material help, help do work."
"ábag","CEBPHRASE","Kinsa may mag-ábag nímu sa ímung pag-iskuyla?"
"ábag","TEXT","Who will help pay for your schooling?"
"ábag","CEBPHRASE","Abági ku áring pagsilhig,"
"ábag","TEXT","Help me sweep."
"ábag","WORDTYPE","n"
"ábag","TEXT","help given."
"ábag","CEBWORD","ka-"
"ábag","WORDTYPE","n"
"ábag","TEXT","helper."
"abaga","CEBWORD","abaga"
"abaga","WORDTYPE","n"
"abaga","TEXT","sweet potatoes growing from the outer vines and not from the main root."
"abága","CEBWORD","abága"
"abága","WORDTYPE","n"
"abága","TEXT","shoulder."
"abága","WORDTYPE","v"
"abága","CLASS","[A2SN; b5]"
"abága","NUMBER","1"
"abága","TEXT","take financial responsibility."
"abága","CEBPHRASE","Abagáhun (pangabagáhun, pangabagáhan) ni Mánuy níya ang galastúhan sa pag-iskuyla,"
"abága","TEXT","His brother will shoulder his school expenses."
"abága","NUMBER","2"
"abága","TEXT","take responsibility for accomplishing s.t."
"abága","CEBPHRASE","Kita giyuy muabága (mangabága) áning prugramáha,"
"abága","TEXT","We must undertake to carry out this program."
"abága","CEBWORD","(→)"
"abága","LINK","abága: v"
"abága","CEBWORD","paN-"
"abága","WORDTYPE","n"
"abága","TEXT","right-hand-man."
"abága","CEBWORD","abagáhun"
"abága","WORDTYPE","a"
"abága","TEXT","broad-shouldered."
"*abáhu","CEBWORD","*abáhu"
"*abáhu","CEBWORD","— kunsidirasiyun, dispusisiyun"
"*abáhu","WORDTYPE","n"
"*abáhu","TEXT","bound by s.o.’s will."
"*abáhu","CEBPHRASE","Abáhu (báhu) <span class=""corr"" id=""xd20e4931"" title=""Source: kunsididirasiyun"">kunsidirasiyun</span> ku sa ákung bána,"
"*abáhu","TEXT","I am bound by my husband’s decisions."
"abaka","CEBWORD","abaka"
"abaka","WORDTYPE","n"
"abaka","NUMBER","1"
"abaka","TEXT","abaca plant: <b lang=""la""><i>Musa textilis</i></b>."
"abaka","NUMBER","2"
"abaka","TEXT","abaca fiber."
"abaka","CEBWORD","abakahan, abakanhan, abakal"
"abaka","WORDTYPE","n"
"abaka","TEXT","abaca plantation."
"abaka","WORDTYPE","v"
"abaka","CLASS","[A3]"
"abaka","TEXT","own an abaca plantation."
"abakáda","CEBWORD","abakáda"
"abakáda","WORDTYPE","n"
"abakáda","TEXT","alphabet."
"abakal","CEBWORD","abakal"
"abakal","LINK","abaka"
"abal","CEBWORD","abal"
"abal","WORDTYPE","n"
"abal","LINK","balbal"
"abal","WORDTYPE","v"
"abal","LINK","abat"
"abalu","CEBWORD","abalu"
"abalu","WORDTYPE","n"
"abalu","TEXT","assessed value."
"abalu","WORDTYPE","v"
"abalu","CLASS","[AB56; b5c]"
"abalu","TEXT","assess, be assessed at."
"abalu","CEBPHRASE","Ug ikaw muabalu sa ákung yútà, ayawg dak-a,"
"abalu","TEXT","If you assess my land, don’t set it too high."
"abalu","CEBPHRASE","Ang yútà miabalu (giabalu, giabaluhan) ug singkwinta mil,"
