"Word","TokenFile"
"a","para_a_0.xml"
"-a","para_a_1.xml"
"*abab","para_a_10.xml"
"abugar","para_a_100.xml"
"antug1","para_a_1000.xml"
"antug2","para_a_1001.xml"
"antúhuy","para_a_1002.xml"
"antúlang","para_a_1003.xml"
"antulánga","para_a_1004.xml"
"antulíhaw","para_a_1005.xml"
"antúlù","para_a_1006.xml"
"antus","para_a_1007.xml"
"antutu","para_a_1008.xml"
"antuwánga","para_a_1009.xml"
"abugasíya","para_a_101.xml"
"anu","para_a_1010.xml"
"ánud","para_a_1011.xml"
"anugas","para_a_1012.xml"
"anúgun","para_a_1013.xml"
"anugut","para_a_1014.xml"
"anúhus","para_a_1015.xml"
"*anuk, *ánuk","para_a_1016.xml"
"anular","para_a_1017.xml"
"anumalíya","para_a_1018.xml"
"-anun","para_a_1019.xml"
"abughu, abughù","para_a_102.xml"
"an-un","para_a_1020.xml"
"anúnang1","para_a_1021.xml"
"anúnang2","para_a_1022.xml"
"anúnas","para_a_1023.xml"
"anunimus","para_a_1024.xml"
"anunsiyu","para_a_1025.xml"
"anunugba","para_a_1026.xml"
"anunugbu","para_a_1027.xml"
"anupug","para_a_1028.xml"
"anup-up","para_a_1029.xml"
"abukádu","para_a_103.xml"
"ánur","para_a_1030.xml"
"anus-a","para_a_1031.xml"
"anut","para_a_1032.xml"
"anutasiyun","para_a_1033.xml"
"anúus","para_a_1034.xml"
"anuwal","para_a_1035.xml"
"anyag","para_a_1036.xml"
"anyil","para_a_1037.xml"
"anyu","para_a_1038.xml"
"anyus","para_a_1039.xml"
"abúkay","para_a_104.xml"
"apa","para_a_1040.xml"
"ápa","para_a_1041.xml"
"apáhap","para_a_1042.xml"
"apáli","para_a_1043.xml"
"apan1","para_a_1044.xml"
"apan2, apan-apan1","para_a_1045.xml"
"apan-apan2","para_a_1046.xml"
"ap-andawun","para_a_1047.xml"
"ap-ap","para_a_1048.xml"
"apapángig","para_a_1049.xml"
"abunansiya","para_a_105.xml"
"aparadur","para_a_1050.xml"
"aparátu","para_a_1051.xml"
"aparisyun","para_a_1052.xml"
"apartmin, apartmint","para_a_1053.xml"
"ápas","para_a_1054.xml"
"apat","para_a_1055.xml"
"ápaw","para_a_1056.xml"
"apay1","para_a_1057.xml"
"apay2","para_a_1058.xml"
"apáyud","para_a_1059.xml"
"abunda","para_a_106.xml"
"apdu","para_a_1060.xml"
"ápid","para_a_1061.xml"
"apidábit","para_a_1062.xml"
"apíki","para_a_1063.xml"
"apikta","para_a_1064.xml"
"apiktǎr","para_a_1065.xml"
"apil","para_a_1066.xml"
"apilar","para_a_1067.xml"
"apílu","para_a_1068.xml"
"apilyídu","para_a_1069.xml"
"abundansiya","para_a_107.xml"
"apindiks","para_a_1070.xml"
"apindisaytis","para_a_1071.xml"
"áping","para_a_1072.xml"
"apínig","para_a_1073.xml"
"apir","para_a_1074.xml"
"ápir","para_a_1075.xml"
"ápir baks","para_a_1076.xml"
"ápir kat","para_a_1077.xml"
"apirmatíbu","para_a_1078.xml"
"apisiyun","para_a_1079.xml"
"ábung1","para_a_108.xml"
"apítung","para_a_1080.xml"
"apla","para_a_1081.xml"
"aplay","para_a_1082.xml"
"áp lay","para_a_1083.xml"
"aplikasiyun","para_a_1084.xml"
"aplud","para_a_1085.xml"
"Aprika","para_a_1086.xml"
"aprindis, aprintis","para_a_1087.xml"
"apríta","para_a_1088.xml"
"apritáda","para_a_1089.xml"
"abungaw1","para_a_109.xml"
"aprubar","para_a_1090.xml"
"aptan","para_a_1091.xml"
"apu","para_a_1092.xml"
"ápù","para_a_1093.xml"
"apud","para_a_1094.xml"
"ápud","para_a_1095.xml"
"ápug1","para_a_1096.xml"
"ápug2","para_a_1097.xml"
"ápul1","para_a_1098.xml"
"ápul2","para_a_1099.xml"
"ab-ab","para_a_11.xml"
"abungaw2","para_a_110.xml"
"apung","para_a_1100.xml"
"ápung","para_a_1101.xml"
"apuntadur","para_a_1102.xml"
"apuntasiyun","para_a_1103.xml"
"apunti","para_a_1104.xml"
"*apuntin","para_a_1105.xml"
"apúpa","para_a_1106.xml"
"apura","para_a_1107.xml"
"apúru","para_a_1108.xml"
"apus","para_a_1109.xml"
"abúnu","para_a_111.xml"
"apustrupi","para_a_1110.xml"
"apustǔl1","para_a_1111.xml"
"apustǔl2","para_a_1112.xml"
"apustulis","para_a_1113.xml"
"apuwintmint","para_a_1114.xml"
"apuy","para_a_1115.xml"
"apúya","para_a_1116.xml"
"apuyus","para_a_1117.xml"
"apyu","para_a_1118.xml"
"apyug","para_a_1119.xml"
"aburídu","para_a_112.xml"
"árà","para_a_1120.xml"
"árab1","para_a_1121.xml"
"árab2","para_a_1122.xml"
"arabi","para_a_1123.xml"
"arabun","para_a_1124.xml"
"arabya","para_a_1125.xml"
"aradur","para_a_1126.xml"
"árag","para_a_1127.xml"
"arang","para_a_1128.xml"
"árang","para_a_1129.xml"
"abusáda","para_a_113.xml"
"arangka1","para_a_1130.xml"
"arangka2, arangkǎr","para_a_1131.xml"
"aransil","para_a_1132.xml"
"aranya, aranyas","para_a_1133.xml"
"arapal","para_a_1134.xml"
"aráru","para_a_1135.xml"
"áras1","para_a_1136.xml"
"áras2","para_a_1137.xml"
"áras3","para_a_1138.xml"
"*arasti","para_a_1139.xml"
"abusádu","para_a_114.xml"
"arastri","para_a_1140.xml"
"árat1","para_a_1141.xml"
"árat2","para_a_1142.xml"
"arawkarya","para_a_1143.xml"
"aray1","para_a_1144.xml"
"aray2","para_a_1145.xml"
"arayis","para_a_1146.xml"
"arbul1","para_a_1147.xml"
"arbul2","para_a_1148.xml"
"arbularyu","para_a_1149.xml"
"abusar","para_a_115.xml"
"argabyádu","para_a_1150.xml"
"argabyu","para_a_1151.xml"
"argardulsi","para_a_1152.xml"
"argh","para_a_1153.xml"
"argulya","para_a_1154.xml"
"argumintu","para_a_1155.xml"
"ari","para_a_1156.xml"
"ári2","para_a_1157.xml"
"aríba1","para_a_1158.xml"
"aríba2","para_a_1159.xml"
"abúsu","para_a_116.xml"
"aríba3","para_a_1160.xml"
"aribáda","para_a_1161.xml"
"arigláda","para_a_1162.xml"
"arigládu","para_a_1163.xml"
"ariglǎr","para_a_1164.xml"
"ariglu","para_a_1165.xml"
"arikmitik","para_a_1166.xml"
"arimadur","para_a_1167.xml"
"arimar","para_a_1168.xml"
"arína","para_a_1169.xml"
"abut","para_a_117.xml"
"arindu","para_a_1170.xml"
"aringkil","para_a_1171.xml"
"arinúla","para_a_1172.xml"
"*arisgǎr","para_a_1173.xml"
"aristǎr","para_a_1174.xml"
"*aristu","para_a_1175.xml"
"aristukrata","para_a_1176.xml"
"árit","para_a_1177.xml"
"arítis","para_a_1178.xml"
"aritmitik","para_a_1179.xml"
"abwag","para_a_118.xml"
"aritmitika, aritmitiku","para_a_1180.xml"
"arítus","para_a_1181.xml"
"aríya1","para_a_1182.xml"
"aríya2","para_a_1183.xml"
"ariyádu","para_a_1184.xml"
"ariyus","para_a_1185.xml"
"ark","para_a_1186.xml"
"arka","para_a_1187.xml"
"arkabála","para_a_1188.xml"
"arkanghil","para_a_1189.xml"
"abyadur","para_a_119.xml"
"arkaydi","para_a_1190.xml"
"arkila","para_a_1191.xml"
"arkitiktu","para_a_1192.xml"
"arku","para_a_1193.xml"
"arkuhul","para_a_1194.xml"
"arkus","para_a_1195.xml"
"armáda","para_a_1196.xml"
"armádu","para_a_1197.xml"
"armamintu","para_a_1198.xml"
"armar","para_a_1199.xml"
"abad","para_a_12.xml"
"abyan","para_a_120.xml"
"armas","para_a_1200.xml"
"armatyur","para_a_1201.xml"
"armi","para_a_1202.xml"
"armikat","para_a_1203.xml"
"armirul","para_a_1204.xml"
"armistisyu","para_a_1205.xml"
"armunyum, armunyun","para_a_1206.xml"
"arníbal","para_a_1207.xml"
"arnika1","para_a_1208.xml"
"arnika2","para_a_1209.xml"
"abyasiyun, abyasyun","para_a_121.xml"
"arnis","para_a_1210.xml"
"arpa","para_a_1211.xml"
"arpilir, arpiril","para_a_1212.xml"
"arsa","para_a_1213.xml"
"arsii","para_a_1214.xml"
"arsubispu","para_a_1215.xml"
"art.","para_a_1216.xml"
"artal","para_a_1217.xml"
"arti","para_a_1218.xml"
"artikulu","para_a_1219.xml"
"abyirtu1","para_a_122.xml"
"artiliyiríya","para_a_1220.xml"
"artipisyal","para_a_1221.xml"
"artista","para_a_1222.xml"
"*artisyánu","para_a_1223.xml"
"*árù","para_a_1224.xml"
"aruk","para_a_1225.xml"
"arul","para_a_1226.xml"
"arúma","para_a_1227.xml"
"arun1","para_a_1228.xml"
"arun2","para_a_1229.xml"
"abyirtu2","para_a_123.xml"
"árun","para_a_1230.xml"
"arunsa","para_a_1231.xml"
"arus1","para_a_1232.xml"
"*arus2","para_a_1233.xml"
"ar-utísi","para_a_1234.xml"
"aruwákà","para_a_1235.xml"
"aruy","para_a_1236.xml"
"arya","para_a_1237.xml"
"aryat","para_a_1238.xml"
"aryindu","para_a_1239.xml"
"abyug","para_a_124.xml"
"asa","para_a_1240.xml"
"ása1","para_a_1241.xml"
"ása2","para_a_1242.xml"
"ása3","para_a_1243.xml"
"asádu","para_a_1244.xml"
"asal","para_a_1245.xml"
"asamblíya","para_a_1246.xml"
"as-as","para_a_1247.xml"
"asáwa","para_a_1248.xml"
"asayti","para_a_1249.xml"
"A.D.","para_a_125.xml"
"asbistus","para_a_1250.xml"
"asdang","para_a_1251.xml"
"asgad","para_a_1252.xml"
"ási","para_a_1253.xml"
"asidu","para_a_1254.xml"
"asikásu","para_a_1255.xml"
"asiláda","para_a_1256.xml"
"asílu","para_a_1257.xml"
"asíman","para_a_1258.xml"
"asin","para_a_1259.xml"
"ád1","para_a_126.xml"
"asin-ásin","para_a_1260.xml"
"asinda","para_a_1261.xml"
"asinsiyun","para_a_1262.xml"
"asinsu","para_a_1263.xml"
"*as-ip","para_a_1264.xml"
"asir","para_a_1265.xml"
"asíras","para_a_1266.xml"
"asiráwu","para_a_1267.xml"
"asíru","para_a_1268.xml"
"asistinsiya","para_a_1269.xml"
"ád2","para_a_127.xml"
"asistǐr","para_a_1270.xml"
"asíti","para_a_1271.xml"
"asitíra","para_a_1272.xml"
"asitun","para_a_1273.xml"
"aslay","para_a_1274.xml"
"aslum","para_a_1275.xml"
"asnat","para_a_1276.xml"
"asnu","para_a_1277.xml"
"aspaltu","para_a_1278.xml"
"asparagus","para_a_1279.xml"
"ada","para_a_128.xml"
"aspíra ultima","para_a_1280.xml"
"aspiranti","para_a_1281.xml"
"aspirasiyun","para_a_1282.xml"
"aspirin, aspirína","para_a_1283.xml"
"asta","para_a_1284.xml"
"astri","para_a_1285.xml"
"astrunawta","para_a_1286.xml"
"astrunumíya","para_a_1287.xml"
"astrunumu","para_a_1288.xml"
"astrunut","para_a_1289.xml"
"áda","para_a_129.xml"
"asu","para_a_1290.xml"
"ásud","para_a_1291.xml"
"asúgi","para_a_1292.xml"
"asúkal","para_a_1293.xml"
"asúkar","para_a_1294.xml"
"asul","para_a_1295.xml"
"asunting","para_a_1296.xml"
"asuntu","para_a_1297.xml"
"asupli","para_a_1298.xml"
"asupri","para_a_1299.xml"
"ábag","para_a_13.xml"
"adá","para_a_130.xml"
"asus","para_a_1300.xml"
"asusasiyun","para_a_1301.xml"
"asusíluy","para_a_1302.xml"
"asusína","para_a_1303.xml"
"asusínas","para_a_1304.xml"
"asusisyun","para_a_1305.xml"
"asusyit","para_a_1306.xml"
"asutíya","para_a_1307.xml"
"asúus","para_a_1308.xml"
"ásuy","para_a_1309.xml"
"ad-ad","para_a_131.xml"
"aswang","para_a_1310.xml"
"aswas","para_a_1311.xml"
"aswat","para_a_1312.xml"
"Asya","para_a_1313.xml"
"asyinda","para_a_1314.xml"
"asyíti","para_a_1315.xml"
"asyus","para_a_1316.xml"
"asyúsa","para_a_1317.xml"
"asyúsu","para_a_1318.xml"
"asyútis","para_a_1319.xml"
"Adan","para_a_132.xml"
"át","para_a_1320.xml"
"átà","para_a_1321.xml"
"átab1","para_a_1322.xml"
"átab2","para_a_1323.xml"
"atábay","para_a_1324.xml"
"átad","para_a_1325.xml"
"atádu","para_a_1326.xml"
"atáhu","para_a_1327.xml"
"átak","para_a_1328.xml"
"atakar","para_a_1329.xml"
"adbans","para_a_133.xml"
"atáki","para_a_1330.xml"
"atáman","para_a_1331.xml"
"atang","para_a_1332.xml"
"átang2","para_a_1333.xml"
"atáru","para_a_1334.xml"
"átas","para_a_1335.xml"
"at-at1","para_a_1336.xml"
"at-at2","para_a_1337.xml"
"atatalu","para_a_1338.xml"
"atay","para_a_1339.xml"
"adbaysir","para_a_134.xml"
"atay-átay","para_a_1340.xml"
"átay","para_a_1341.xml"
"atbang","para_a_1342.xml"
"atbu","para_a_1343.xml"
"atbug","para_a_1344.xml"
"athag","para_a_1345.xml"
"atibás","para_a_1346.xml"
"átik","para_a_1347.xml"
"atiman","para_a_1348.xml"
"atimúya","para_a_1349.xml"
"adbintista","para_a_135.xml"
"atin","para_a_1350.xml"
"atindan, atindant","para_a_1351.xml"
"atindída","para_a_1352.xml"
"atindídu","para_a_1353.xml"
"atindir","para_a_1354.xml"
"atinsiyun","para_a_1355.xml"
"átip","para_a_1356.xml"
"atipú, atipúlu","para_a_1357.xml"
"átis","para_a_1358.xml"
"atlíta","para_a_1359.xml"
"adbirbiyu","para_a_136.xml"
"atmuspíra","para_a_1360.xml"
"atnga, atngal","para_a_1361.xml"
"atngaw","para_a_1362.xml"
"atráka","para_a_1363.xml"
"atraksiyun","para_a_1364.xml"
"atraktíbu","para_a_1365.xml"
"atras","para_a_1366.xml"
"atrasádu","para_a_1367.xml"
"atrasar","para_a_1368.xml"
"atrasáwu","para_a_1369.xml"
"Adbiyintu","para_a_137.xml"
"atrásu","para_a_1370.xml"
"atribídu","para_a_1371.xml"
"atribir","para_a_1372.xml"
"atril1","para_a_1373.xml"
"atril2","para_a_1374.xml"
"atripisyu, atripisyun","para_a_1375.xml"
"atsa","para_a_1376.xml"
"atsaatsa","para_a_1377.xml"
"atsal","para_a_1378.xml"
"atsar","para_a_1379.xml"
"adgaw","para_a_138.xml"
"atsára","para_a_1380.xml"
"atsay1","para_a_1381.xml"
"*atsay2","para_a_1382.xml"
