"Type","Content"
"CEBWORD","lámang"
"TEXT","<i lang=""cebword"">short form</i>:"
"CEBWORD","lang."
"TEXT","only, just."
"NUMBER","1"
"TEXT","merely, [do] nothing more than."
"CEBPHRASE","Naglingkud lang siya didtu ug walà magtingug,"
"TEXT","He just sat there without saying anything."
"CEBPHRASE","Mutsátsu lang siya unyà magbuut,"
"TEXT","He’s just a houseboy, but he wants to have the say."
"CEBPHRASE","Walà ku muanhi arun lang kasab-an,"
"TEXT","I didn’t come here merely to get a scolding."
"CEBPHRASE","ígù lang siya sa paghílak,"
"TEXT","All she could do was cry. (Lit. She was merely up to crying.)"
"CEBPHRASE","Káwang lang ang ákung pag-antus,"
"TEXT","My sufferings were all in vain (nothing more than vain)."
"CEBPHRASE","Barátu ni kay písus lang,"
"TEXT","This is cheap because it is only a peso."
"CEBPHRASE","Tú lang ákung gidá,"
"TEXT","I only brought three."
"NUMBER","1a"
"TEXT","<i lang=""cebword"">with commands or exhortation:</i> just do [so-and-so]—it’s a small thing to do."
"CEBPHRASE","Hulata lang ku sa gawas,"
"TEXT","Just wait for me outside."
"CEBPHRASE","Maglakaw lang ta, duul ra man,"
"TEXT","Let’s just walk. It’s not far."
"NUMBER","1b"
"CEBWORD","sígi —"
"TEXT","please [do], it’s just a little favor to ask."
"CEBPHRASE","Sígi lang. Tugti lang ku,"
"TEXT","Come on. Please, let me do it."
"NUMBER","1c"
"TEXT","<i lang=""cebword"">with negatives:</i> not bother to do."
"CEBPHRASE","Dì lang ta mangatúlug rung gabíi,"
"TEXT","Let’s not bother going to sleep this evening."
"NUMBER","1c1"
"CEBWORD","walà (dílì) — ... kun dílì ..."
"TEXT","not only ... but also ..."
"CEBPHRASE","Dì lang ang inahan kun dì hasta anak maapiktahan,"
"TEXT","Not only the mother but also the child will be affected."
"NUMBER","1d"
"CEBWORD","basta —"
"TEXT","just so it happens, though it isn’t desirable."
"CEBPHRASE","Iwarì lang nà. Basta lang mawálà sa ákung panan-aw,"
"TEXT","Get rid of it. Just so it gets out of my sight."
"NUMBER","1e"
"CEBWORD","karun, bag-u, gahápun —"
"TEXT","just now, just recently, just yesterday."
"CEBPHRASE","Karun lang siya miabut,"
"TEXT","He just arrived now."
"CEBPHRASE","Bag-u lang silang namalhin,"
"TEXT","They just recently moved."
"CEBPHRASE","Gahápun lang siya maulì,"
"TEXT","He just went home yesterday."
"NUMBER","1f"
"CEBWORD","<span class=""rm"">[<i lang=""ceb"">expression of time</i>]</span> —"
"TEXT","just do at [such-and-such time] (and no other time)."
"CEBPHRASE","Mahuybis lang sila mamasúra,"
"TEXT","They just collect garbage on Thursdays."
"NUMBER","1g"
"CEBWORD","balu, ambut —"
"TEXT","gee, I don’t know (I’m only up to saying I don’t know)."
"NUMBER","1h"
"CEBWORD","dipindi, sigun —, sa <span class=""rm"">[<i lang=""ceb"">verb</i>]</span> —"
"TEXT","depending on."
"CEBPHRASE","ákung ibaligyà sa makauna lang,"
"TEXT","I’ll sell it to whoever is first."
"CEBPHRASE","Sigun lang sa prisyu,"
"TEXT","It depends on the price."
"NUMBER","1i"
"CEBWORD","gáni, gáling —"
"TEXT","the only thing wrong."
"CEBPHRASE","Maáyu untà, gáling lang nasayup ang miskla,"
"TEXT","It should have been good, only the mixture was in the wrong proportions."
"NUMBER","2"
"TEXT","just, take [so-and-so] rather than some other choice."
"NUMBER","2a"
"TEXT","<i lang=""cebword"">with nominal predicate and verb subject:</i> let [so-and-so] do it."
"CEBPHRASE","Aku lay dá áni bi,"
"TEXT","There, let me carry this."
"CEBPHRASE","Ikaw lay pangutána,"
"TEXT","You ask. (Lit. let you be the one to ask.)"
"NUMBER","2a1"
"CEBWORD","<span class=""rm"">[<i lang=""ceb"">pronoun, noun</i>]</span> —"
"TEXT","[so-and-so] will take the consequences."
"CEBPHRASE","Ug ímung buhátun, ikaw lang,"
"TEXT","If you do it, you take the responsibility."
"NUMBER","2b"
"TEXT","<i lang=""cebword"">with quantities:</i> just make it [so-and-so] much."
"CEBPHRASE","Trayinta lang ni ha?"
"TEXT","Can I have it for thirty?"
"NUMBER","2b1"
"CEBWORD","anhi, dinhi, nganhi —"
"TEXT","only up to here."
"CEBPHRASE","Anhi lang ku dinhi manáug,"
"TEXT","I’ll just get off here."
"NUMBER","2c"
"TEXT","<i lang=""cebword"">with verb:</i> take the choice of [do]ing."
"CEBPHRASE","Ang isdang dílì mahálin gamsun lang, dílì bularun,"
"TEXT","If they can’t sell the fish, they just salt it. They don’t dry it."
"CEBPHRASE","Ayaw lag anhi ugmà, kay mahímu man sa Huybis,"
"TEXT","Don’t bother coming tomorrow because you can do it on Thursday."
"CEBWORD","sígi —"
"NUMBER","2c1"
"TEXT","never mind."
"NUMBER","2c2"
"TEXT","well, all right, I’ll agree to it."
"CEBPHRASE","Sígi lang. Dì lang ku mudayug palit kay mahal,"
"TEXT","Never mind. I won’t buy it because it’s expensive."
"CEBPHRASE","Sígi lang, itúgut ku na lang nig bayinti,"
"TEXT","Oh, all right. I’ll let you have it for twenty centavos."
"CEBWORD","ákù (íya, ímu) —"
"TEXT","just let me (him) have it rather than s.o. else."
"CEBPHRASE","ákù lang ni. Kadtu lay ihátag ni Pidru,"
"TEXT","Let me have this one. Just let Pedro have the other one."
"NUMBER","2c3"
"TEXT","can’t help [do]ing."
"CEBPHRASE","Mahadluk lang ta bisan sa pagpanimátì lang,"
"TEXT","We can’t help getting cold shivers, even just hearing about it."
"NUMBER","2c4"
"CEBWORD","mau —"
"TEXT","<b>2c4a</b> it cannot be otherwise. <i lang=""cebword"">‘Mu ba siya ang nakaingun?’—‘Mu lang!’</i> ‘Is he the one that caused it?’—‘Of course! Who else could it have been.<corr id=""xd20e262185"" title=""Not in source"">’</corr><b>2c4b</b> yes, most certainly so. <i lang=""cebword"">‘Mukáun kag surbíti?’—‘Káun mu lang,’</i> ‘Would you like to eat ice cream?’—‘I sure would.’"
"NUMBER","3"
"CEBWORD","na —"
"NUMBER","3a"
"TEXT","now it is only [so-and-so much] where it was more before."
