"Type","Content"
"CEBWORD","ra"
"TEXT","particle following the first word of a predicate."
"NUMBER","1"
"TEXT","only [predicate] and nothing else."
"CEBPHRASE","Si Pidru ra ang mitábang nákù,"
"TEXT","Pedro was the only one that helped me."
"CEBPHRASE","Mau ray ákung gianhi,"
"TEXT","That is all I came to get."
"CEBPHRASE","Ginúu ray mahibalu ug unsáun nà,"
"TEXT","Only the Lord knows what to do with that."
"NUMBER","1a"
"TEXT","[so-and-so] did it himself."
"CEBPHRASE","Siya ray nag-unay sa íyang anak,"
"TEXT","He raped his own daughter."
"NUMBER","1b"
"CEBWORD","<span class=""rm"">[<i lang=""ceb"">preposed gen. pronoun</i>]</span> —"
"TEXT","it is all my, your, his, our, etc. very own."
"CEBPHRASE","Ang mais, ímu ra pud diayng abut?"
"TEXT","Oh, is the corn your own product, too?"
"NUMBER","1b1"
"CEBWORD","íya —"
"TEXT","may this bad thing happen only to him (phrase to ward off the possibility that the bad thing may happen to s.o. else)."
"CEBPHRASE","Ag íyang úlu, íya ra, maáyung pagkapusà,"
"TEXT","He got his head completely smashed—may it only happen to him."
"NUMBER","1c"
"CEBWORD","— hinúun"
"NUMBER","1c1"
"TEXT","it’s merely, only."
"CEBPHRASE","Sitinta ra hinúun ning íyang ámut apan makatábang ug tapal sa galastúhan,"
"TEXT","He only contributed seventy, but it can help cover the expenses."
"NUMBER","1c2"
"TEXT","oh, it’s nothing (said in modesty or sarcastically about s.t. impressive)."
"CEBPHRASE","Rulsruys ra hinúun ang íyang awtu,"
"TEXT","His car is only a Rolls Royce."
"NUMBER","2"
"TEXT","exactly [so-and-so]."
"NUMBER","2a"
"TEXT","with measurements: [so-and-so much] and no more."
"CEBPHRASE","Tulu ray makaadtu,"
"TEXT","Only three people can go."
"NUMBER","2a1"
"TEXT","with words referring to fitness, sufficiency, preciseness: just exactly right, fitting, etc."
"CEBPHRASE","Hustu ra ning tulu,"
"TEXT","Three is just the right number."
"CEBPHRASE","Paríha ra ang duha,"
"TEXT","The two are exactly alike."
"CEBPHRASE","Mahímù ra nang gidak-úna,"
"TEXT","That size will do perfectly."
"NUMBER","2b"
"TEXT","<i lang=""cebword"">with words referring to location:</i> it is right here, there."
"CEBPHRASE","Día ra ku,"
"TEXT","I’m over here."
"CEBPHRASE","Náa ra sa ímung atubángan,"
"TEXT","There it is, right under your nose."
"NUMBER","2b1"
"TEXT","no further than [such-and-such a place]."
"CEBPHRASE","Anhi ra kútub ang dálan,"
"TEXT","The road doesn’t go any further than this."
"CEBPHRASE","Didtu ra mi manáug,"
"TEXT","We got off there and went no further."
"NUMBER","2b2"
"CEBWORD","anáa — <span class=""rm"">[<i lang=""ceb"">dat.</i>]</span>"
"TEXT","it is up to [so-and-so]."
"CEBPHRASE","Náa ra níya ug mupalit ba siya,"
"TEXT","It is up to him if he wants to buy."
"CEBPHRASE","Náa ra nímug mupadáyun ka,"
"TEXT","It’s entirely up to you if you will continue."
"NUMBER","2c"
