"Type","Content"
"CEBWORD","baksiwà"
"WORDTYPE","a"
"TEXT","contrary, nonconforming."
"CEBPHRASE","Baksiwà nga pagkabátà,"
"TEXT","A contrary child."
"WORDTYPE","v"
"CLASS","[AC; c1]"
"NUMBER","1"
"TEXT","be contrary to, be not in conformity."
"CEBPHRASE","Mubaksiwà giyud nà siya sa gustu sa ámung inahan,"
"TEXT","She always does s.t. contrary to our mother’s wishes."
"CEBPHRASE","Nagkabaksíwa ang ílang pangatarúngan,"
"TEXT","Their reasons did not tally."
"CEBPHRASE","Baksiwaun (ibaksiwà) man gud nímug sabut ang ákung sulti,"
"TEXT","You always place a wrong meaning on what I say."
"NUMBER","2"
"TEXT","put in a head to toe arrangement."
"CEBPHRASE","Nagbaksíwà sila paghigdà,"
"TEXT","They lay down beside each other with their heads on opposite ends."
"CEBPHRASE","Ibaksiwà (baksiwáun) nákù ang pagpahimútang sa káhuy,"
"TEXT","I will arrange the wood so that the bigger ends are next to the smaller ends."
"NUMBER","3"
"CLASS","[C13]"
"TEXT","pass by one another without seeing each other."
"CEBPHRASE","Wà sila magkítà kay nagkabaksíwà lang sila sa dálan,"
"TEXT","They did not meet because they just passed each other on the road."
"CEBWORD","(←)"
"CLASS","[B]"
"TEXT","be intertwining."
"CEBPHRASE","Bágun nga nagbaksíwà,"
"TEXT","Intertwining vines."
