"Type","Content"
"CEBWORD","didtu"
"NUMBER","1"
"TEXT","there (far from speaker, far from addressee)."
"CEBPHRASE","Didtu ibutang,"
"TEXT","Put it over there."
"CEBPHRASE","Didtu níya ibutang,"
"TEXT","She put it there."
"CEBPHRASE","Ug didtu siya, nagpaábut ni Maríya,"
"TEXT","And there he was waiting for Mary."
"NUMBER","1a"
"CEBWORD","<corr id=""xd20e106741"" title=""Not in source"">—</corr> nga <corr id=""xd20e106744"" title=""Source: [noun-a]""><span class=""rm"">[<i lang=""ceb"">noun</i>]</span>-a</corr>"
"TEXT","in that [noun] as opposed to other places."
"CEBPHRASE","Didtung baláya siya mamatay,"
"TEXT","He died in that house."
"NUMBER","2"
"TEXT","there (at a point in time in the past)."
"CEBPHRASE","Didtu ku makat-un sa paghigugma níya,"
"TEXT","It was then I learned to love him."
"NUMBER","3"
"CEBWORD","—y"
"TEXT","there was, there were."
"CEBPHRASE","Didtuy táwu sa asíras,"
"TEXT","There was s.o. there on the sidewalk."
