"Type","Content"
"CEBWORD","kudlit"
"WORDTYPE","v"
"CLASS","[A; a]"
"NUMBER","1"
"TEXT","make a scratch, pinprick, or line on s.t."
"CEBPHRASE","Kasingkásing nga gikudlit sa buktun, papil, káhuy,"
"TEXT","A heart tattooed on the arm, drawn on the paper, carved into the tree."
"CEBPHRASE","Gikudlítan sa duktur ang hubag,"
"TEXT","The doctor made an incision in the boil."
"CLASS","[A; b]"
"NUMBER","1a"
"TEXT","vaccinate."
"CEBPHRASE","Nía na ang nars nga mukudlit sa mga bátà,"
"TEXT","Here is the nurse to vaccinate (lit. prick) the children."
"NUMBER","1b"
"TEXT","change the palm configuration of a child that has the mark of a crocodile on his palm (<i lang=""cebword"">buayáhun</i>) which betokens ill."
"CEBPHRASE","Kinahanglang kudlítan ang buayáhun arun kabuhíag anak,"
"TEXT","A child that bears the mark of the crocodile on his palm should have it extended so his parents will not have all their children die on them."
"NUMBER","2"
"TEXT","write s.t. (literary)."
"CEBPHRASE","Bálak nga gikudlit sa íyang dágang,"
"TEXT","The poem that his pen produced."
"WORDTYPE","n"
"TEXT","lines, scratches, pinpricks."
"CEBWORD","— sa pálad"
"NUMBER","1"
"TEXT","lines in the palm."
"NUMBER","2"
"TEXT","one’s fate or fortune as indicated by the palm."
"CEBWORD","pa-"
"WORDTYPE","v"
"CLASS","[A; ab]"
"TEXT","have oneself inoculated or have the lines on the palm extended."
"CEBWORD","-anan"
"WORDTYPE","n"
"TEXT","person to be inoculated, place to be punctured, surface to be written on."
"CEBWORD","-in-"
"WORDTYPE","n"
"TEXT","marks made."
"CEBWORD","mag-r-"
"WORDTYPE","n"
"TEXT","one who inoculates or tattoos."
