"Type","Content"
"CEBWORD","láin"
"WORDTYPE","a"
"NUMBER","1"
"TEXT","different, another."
"CEBPHRASE","Láin ning klasíha sa panaptun,"
"TEXT","This is a different k.o. cloth."
"NUMBER","1a"
"CEBWORD","may — pa"
"TEXT","of course, could it be different? <i lang=""cebword"">‘Wà na pud tingáli nay kwarta.’—‘May láin pa?’</i> ‘He’s probably out of money again.’—‘Of course, could it be otherwise?’"
"NUMBER","1b"
"CEBWORD","— nga kalibútan"
"TEXT","afterworld."
"CEBPHRASE","Adtu ta magkítà sa láing kalibútan,"
"TEXT","We’ll meet in the afterworld."
"NUMBER","1c"
"CEBWORD","sa — nga báhin"
"TEXT","on the other hand."
"CEBPHRASE","Hustu pud ang íyang sulti, apan sa láing báhin, sayup pud siya,"
"TEXT","What he said is true, but on the other hand, he’s also wrong in some ways."
"NUMBER","2"
"TEXT","bad, sick."
"CEBPHRASE","Láin kaáyu ning ákung gibátì,"
"TEXT","I feel very sick."
"NUMBER","3"
"TEXT","odd in behavior, different from what one would expect."
"CEBPHRASE","Kaláin nímu nga dílì gánì mupahíyum inighinagbù nátù!"
"TEXT","How odd of you not even to smile when we meet!"
"CEBPHRASE","Láin ug báhù ning agwáha,"
"TEXT","This perfume has a strange smell."
"NUMBER","3a"
"CEBWORD","— ug buut, úlu"
"TEXT","unpredictable in behavior, somewhat crazy."
"CEBPHRASE","Ayaw nà siya kumpiyansáhi kay láin ra ba nag úlu,"
"TEXT","Don’t trust him, because he’s somewhat crazy."
"NUMBER","3b"
"CEBWORD","— ug sabaw"
"TEXT","acting strangely, unexpectedly."
"CEBPHRASE","Láin siyag sabaw kay manáug manday nanghúkad,"
"TEXT","He’s a strange fellow. He leaves just when they are serving dinner."
"NUMBER","4"
"TEXT","not of a good sort, bad."
"CEBPHRASE","Láin ang panahun run,"
"TEXT","The weather is no good now."
"CEBPHRASE","Láin kaáyu ug batásan nang íyang asáwa,"
"TEXT","That wife of his has very offensive manners."
"NUMBER","4a"
"CEBWORD","— ug buut, úlu"
"TEXT","short-tempered."
"CEBPHRASE","Ayaw siya bikla kay láin ra ba nag buut (úlu),"
"TEXT","Don’t irritate him because he’s short-tempered."
"NUMBER","4b"
"CEBWORD","— ug kamut"
"TEXT","tending to steal."
"CEBPHRASE","Láin ug kamut tung ákung binatunan, Daghan ang nawā́,"
"TEXT","Our servant was a thief. So many things disappeared."
"NUMBER","4c"
"CEBWORD","— ug sabaw"
"TEXT","sensitive, easily taking offense."
"CEBPHRASE","Láig sabawng bayhána. Wà bayà kuy gipasabut nga dautan!"
"TEXT","What a sensitive woman. I didn’t mean anything by that remark."
"NUMBER","5"
"TEXT","for a person to be dangerous, capable of supernatural harm."
"CEBPHRASE","Láin kaáyu ang mga táwu sa Nága. Daghang mga unglù,"
"TEXT","The people in Naga are dangerous. There are lots of vampires."
"NUMBER","6"
"CEBWORD","— nga táwu"
