"Type","Content"
"CEBWORD","pa<sub>1</sub>"
"NUMBER","1"
"TEXT","still, yet: up to now, up to a specific point in the past."
"CEBPHRASE","Natúlug pa si Pidru,"
"TEXT","Pedro is still asleep."
"CEBPHRASE","Si Huwan pay naabut,"
"TEXT","So far only John has arrived."
"NUMBER","1a"
"TEXT","with measurements: only [so-and-so much] up to now."
"CEBPHRASE","Tungà pa ug túbig ang baril,"
"TEXT","The barrel is still only half full of water."
"NUMBER","1b"
"CEBWORD","dílì, walà —"
"TEXT","<b>1b1</b> not yet."
"CEBPHRASE","Ang linung-ag nga ságing walà pa malútù,"
"TEXT","The boiled bananas are not cooked yet. <b>1b2</b> before."
"CEBPHRASE","Hipúsa ang libru sa dílì pa si Pápa muabut,"
"TEXT","Put the book away before Dad arrives."
"CEBPHRASE","Sa wà pay gíra,"
"TEXT","Before the war."
"NUMBER","2"
"TEXT","else, in addition."
"NUMBER","2a"
"TEXT","<i lang=""cebword"">with future verb:</i> [so-and-so] will still happen."
"CEBPHRASE","Sulatan pa nákù si Husi,"
"TEXT","I still have to write to José."
"NUMBER","2b"
"TEXT","with a past verb: [did] besides."
"CEBPHRASE","Human siya sagpáa, gisultían pa ug pait,"
"TEXT","He was slapped and bitter words were said to him as well."
"NUMBER","2c"
"TEXT","<i lang=""cebword"">with existential:</i> [so-and-so] also is in existence."
"CEBPHRASE","Náa pa bay túbig sa baril?"
"TEXT","Is there any more water in the barrel?"
"NUMBER","2d"
"TEXT","<i lang=""cebword"">interrogative —:</i><b>2d1</b> what, where, why, etc. else."
"CEBPHRASE","Kinsa pay muadtu?"
"TEXT","Who else will go? <b>2d2</b> what, where, why, etc. could it be."
"CEBPHRASE","Unsa pa ug dílì kwarta?"
"TEXT","What could it be <corr id=""xd20e323227"" title=""Source: it"">if</corr> not money?"
"CEBPHRASE","Ngánu pa nga ikaw giyud?"
"TEXT","Why, oh why, was it you, of all people? <b>2d3</b>"
"CEBWORD","unsa, háin -y"
"TEXT","<i lang=""cebword"">[noun]-un</i> what [noun] are you talking about?"
"CEBPHRASE","Unsa pay radiyúhun nga dúgay nang gikáwat,"
"TEXT","What radio are you talking about when it was stolen long ago."
"NUMBER","2e"
"TEXT","<i lang=""cebword"">in phrases bringing up a new subject:</i>"
"CEBWORD","láin —y átù"
"TEXT","by the way, to change the subject."
"CEBPHRASE","Láin pay átù, minyù ka na ba?"
"TEXT","By the way, are you married?"
"CEBWORD","mau — diay átù"
"TEXT","by the way, I just thought of it."
"CEBPHRASE","Mau pa diay átù, wà ta kadág abridur,"
"TEXT","It just occurred to me. We didn’t bring a can opener."
"CEBWORD","úsà, ísà, tayim —"
"TEXT","excuse me a second (lit. one more second)."
"CEBPHRASE","ísà pa kay ákung pagngun ang radiyu,"
"TEXT","Excuse me. I am going to turn off the radio."
"NUMBER","2f"
"TEXT","<i lang=""cebword"">in phrases meaning in addition:</i>"
"CEBWORD","bísan —"
"TEXT","even ... too, despite."
"CEBPHRASE","Bísan pa ang mga bátà giapil,"
"TEXT","Even the children were included."
"CEBPHRASE","Bísan pa niánà, dì ku muadtu,"
"TEXT","Despite that, I won’t go!"
"CEBWORD","gawas, lábut —"
"TEXT","besides."
"CEBPHRASE","Gawas (lábut) pa niánà, unsa pa may púlung níya?"
"TEXT","Besides that, what else did he say?"
"CEBWORD","labaw —"
"TEXT","in addition to."
"CEBPHRASE","Labaw pa niánà tagáan tikag primiyu,"
"TEXT","And in addition, I will give you a reward."
"NUMBER","3"
"TEXT","[predicate] is <corr id=""xd20e323305"" title=""Source: superflous"">superfluous</corr>; [do] when one shouldn’t or shouldn’t have to."
"CEBPHRASE","Ug nagbayadbáyad pa siya nga wà man tu kinahanglána,"
"TEXT","And he was paying for it when there was no need."
"CEBPHRASE","Sus! Ipakítà pa giyud níya mu rag dílì baratuhun,"
"TEXT","Heavens! She has to show off, as if it weren’t s.t. cheap."
"NUMBER","3a"
"TEXT","[do] some more so that [such-and-such] a bad thing will happen again."
"CEBPHRASE","Nasagpaan ka. Panabì pa,"
"TEXT","You got yourself a slapping. Go on. Blabber some more."
"CEBPHRASE","Nadagmà ka núun. Sígi, dágan pa,"
"TEXT","You fell down. Go on. Keep on running around (so you can fall again)."
"NUMBER","3b"
"TEXT","that’s what happens when you do [so-and-so]."
"CEBPHRASE","Minyù pa. Mu ra na kag irung panit,"
"TEXT","That is what you get for getting married. You’re no better off than a mangy dog."
"NUMBER","3c"
"CEBWORD","walà nay"
"TEXT","[<i lang=""cebword"">doubled verb</i>] — didn’t even do [so-and-so] though it is customary."
"CEBPHRASE","Gipalit níya ang kutsi dihàdihà nga wà nay hangyùhangyù pa,"
"TEXT","He bought the car, then and there, without even bargaining."
"NUMBER","3d"
"CEBWORD","mau —y <span class=""rm"">[<i lang=""ceb"">verb</i>]</span>"
"TEXT","[so-and-so] was the case, which was bad enough, but then ..."
"CEBPHRASE","Mau pay kisì, ímu pung iuran ug sígi, nadúnut,"
"TEXT","It was already torn. You kept wearing it, so it was ruined. <b>3d1</b>"
"CEBWORD","mau —y <span class=""rm"">[<i lang=""ceb"">verb, adj.</i>]</span> ... mau —y <span class=""rm"">[<i lang=""ceb"">verb, adj.</i>]</span>"
"TEXT","he [did, does] and yet dared, dares to do [so-and-so] in addition."
"CEBPHRASE","Mau pay sad-an mau pay mangísug,"
"TEXT","He is at fault, but he dares to get mad."
"CEBPHRASE","Mau pay nangáyù mau pay mipílì,"
"TEXT","He is asking the favor and yet he is choosy."
"NUMBER","4"
"TEXT","[subject] is still in a group with other things mentioned."
"CEBPHRASE","Ang íhu isdà. Isdà pa ba ang pági?"
"TEXT","Sharks are fish; are rays also considered fish?"
"NUMBER","4a"
"CEBWORD","málu — nà"
"TEXT","that’s not so bad, is it?"
"CEBPHRASE","Sígi málu pa nà ug makadiyis ka,"
"TEXT","Go ahead. If you make ten bucks on it, that ain’t bad."
"NUMBER","5"
"TEXT","<i lang=""cebword"">in comparisons:</i> even more."
"CEBPHRASE","Gwápa pa ka kang Maríya,"
"TEXT","You are more beautiful than Mary."
"NUMBER","5a"
"CEBWORD","<span class=""rm"">[<i lang=""ceb"">adj.</i>]</span> pay <span class=""rm"">[<i lang=""ceb"">subject</i>]</span>"
"TEXT","[subject] is more [adj.] than ..."
"CEBPHRASE","Lamì pay lamaw niíni,"
"TEXT","This is worse than garbage. (Lit. Garbage is more delicious than this.)"
"CEBPHRASE","Lisud pay magkaug mani,"
"TEXT","It’s harder to eat peanuts than do this."
"NUMBER","6"
"TEXT","<i lang=""cebword"">in quotations, preceded by gen.:</i> [gen.] said."
"CEBPHRASE","Ug mau tu ang nahitabù, níya pa,"
"TEXT","And that is all what happened, he said."
"NUMBER","6a"
"CEBWORD","mátud —"
"TEXT","[<i lang=""cebword"">gen.</i>] [gen.] says, said."
"CEBPHRASE","Mátud pa níla aku dílì ángay,"
"TEXT","They say I am not worthy."
"NUMBER","6b"
"CEBWORD","siya —"
"TEXT","he said."
"CEBPHRASE","Kay na, siya pa, unsáun man nákù?"
"TEXT","Well, said he, what can I do?"
"NUMBER","6c"
"CEBWORD","sa átù —"
"TEXT","in other words."
"CEBPHRASE","Aw, sa átù pa diyis ákung ibáyad nímu,"
"TEXT","Oh, in other words, ten is what I pay you."
"NUMBER","7"
"TEXT","with the apodosis of a condition contrary to fact."
"CEBPHRASE","Ug walà pa nímu kawáta, ngánung náa man nà nímu?"
"TEXT","If you hadn’t stolen it, why do you have it?"
"NUMBER","7a"
"CEBWORD","<span class=""rm"">[<i lang=""ceb"">noun</i>]</span> —y"
"TEXT","["
"CEBPHRASE","noun, pronoun, adj."
"TEXT","] if [noun] were [noun, pronoun, adj.]."
"CEBPHRASE","Aku pay Huwan,"
"TEXT","If I were John."
"CEBPHRASE","Aku pay ikaw (aku pa nímu),"
"TEXT","If I were you."
"CEBPHRASE","Aku pay dátù,"
"TEXT","If I were rich."
"CEBPHRASE","Aku pa nímu, níya,"
"TEXT","If I were you, him."
"CEBPHRASE","Kami pa ninyu, níla,"
"TEXT","If we were you, them."
"NUMBER","7b"
"CEBWORD","<span class=""rm"">[<i lang=""ceb"">predicate</i>]</span> —y ímu"
"TEXT","! [so-and-so] is stupendous in quantity, quality (lit. if you could only see [such-and-such])."
"CEBPHRASE","Mais pay ímu, sus kadaghan!"
"TEXT","If you could only see my corn. My! There’s a lot."
"CEBPHRASE","Si Pidru pay ímu, káun giyud tug irù,"
"TEXT","Believe me, Pedro will eat dog meat, and how! <b>7b1</b>"
"CEBWORD","<span class=""rm"">[<i lang=""ceb"">noun</i>]</span> —y ákù"
"TEXT","I never thought [so-and-so] was what he was."
"CEBPHRASE","Si Pidru pay ákù may kirída diay nà siya,"
"TEXT","I never thought it was possible, but Pedro has a mistress."
"NUMBER","7c"
"CEBWORD","— lámang"
"TEXT","<i lang=""cebword"">see</i><span class=""sc"" lang=""ceb""><a href=""#laxmang"">lámang</a></span>,"
"CEBPHRASE","4b, c."
"NUMBER","7d"
"CEBWORD","agad, maáyu —"
"TEXT","it would be, would have been better if, it would have been good."
"CEBPHRASE","Maáyu (agad) pa untà ug átung napintálan ang kahun úsà gawía,"
"TEXT","It would have been better if we had painted the box before we used it."
"CEBPHRASE","Agad (maáyu) pa ug magtuun ka kay sa magkantakanta,"
"TEXT","You would do better to study than just sit around singing."
"NUMBER","7e"
"CEBWORD","hináut, básin, básun —"
"TEXT","I hope that."
"CEBPHRASE","Hináut pang dílì muulan,"
"TEXT","I hope it won’t rain."
"NUMBER","8"
"TEXT","<i lang=""cebword"">modifying a phrase referring to time:</i> [so-and-so] recently happened, won’t happen until ..."
"CEBPHRASE","Dílì madala ug bálik ugmà, Huybis pa,"
"TEXT","I cannot bring it back tomorrow. Not until Thursday."
"CEBPHRASE","Bag-u pa siya nga milakaw,"
"TEXT","He left just now."
"CEBPHRASE","Gíkan pa siya sa Manílà,"
"TEXT","He is just back from Manila."
"CEBPHRASE","Karun pa siya muabut gíkan sa Buhul,"
"TEXT","He arrived just now from Bohol. <b>8a1</b>"
"CEBWORD","ayhà, anhà —"
"TEXT","only then [will so-and-so] happen."
"CEBPHRASE","Ayhà (anhà) pa siya mulíhuk ug pakit-an ug latigu,"
"TEXT","He only moves if he sees a whip. <b>8a2</b>"
"CEBWORD","dihà —"
"TEXT","only then [so-and-so] happened."
"CEBPHRASE","Dihà pa siya mutuun nga hápit na ang iksámin,"
"TEXT","He only started to study when it was nearly exam time."
"NUMBER","8b"
"CEBWORD","mau —y <span class=""rm"">[<i lang=""ceb"">abstract form</i>] or [<i lang=""ceb"">instrumental passive</i>]</span>"
"TEXT","that is the first time [abstract] happened, [instrumental passive] will happen."
"CEBPHRASE","Mau pay pagkadungug nákù niánà,"
"TEXT","That is the first time I heard that."
"CEBPHRASE","Mau pay ilung-ag ug mudtu na,"
"TEXT","Don’t cook it until noon. (The first time to cook it when it’s noon.)"
"NUMBER","8c"
"CEBWORD","<span class=""rm"">[<i lang=""ceb"">future verb abstract form</i>] —</span>"
"TEXT","but then when [so-and-so] was done."
"CEBPHRASE","Dúgay nákung limpiyu sa salug. Baldiyúhan pa nákù, human dáyun,"
"TEXT","It took me a long time to clean the floor. But then when I hosed it down, it was finished right away."
"CEBPHRASE","Pag-abri pa nákù sa subri, wà diay sulud,"
"TEXT","When I opened the envelope, there was nothing in it after all."
"CEBWORD","dáan — <span class=""rm"">[subject]</span>"
"TEXT","knew [so-and-so] in advance."
"CEBPHRASE","Dáan pa lagi ku,"
"TEXT","I knew that long ago!"
"NUMBER","9"
"TEXT","much less [do]."
"CEBPHRASE","Dì gánì aku makasulti, kanta pa,"
"TEXT","I cannot even talk, much less sing."
"CEBPHRASE","Dì gánì aku makahímù niánà, ikaw pa,"
"TEXT","I can’t even do that, much less you."
