"Word","TokenFile"
"a","tokens_a_0.csv"
"-a","tokens_a_1.csv"
"*abab","tokens_a_10.csv"
"abugar","tokens_a_100.csv"
"antug<sub>1</sub>","tokens_a_1000.csv"
"antug<sub>2</sub>","tokens_a_1001.csv"
"antúhuy","tokens_a_1002.csv"
"antúlang","tokens_a_1003.csv"
"antulánga","tokens_a_1004.csv"
"antulíhaw","tokens_a_1005.csv"
"antúlù","tokens_a_1006.csv"
"antus","tokens_a_1007.csv"
"antutu","tokens_a_1008.csv"
"antuwánga","tokens_a_1009.csv"
"abugasíya","tokens_a_101.csv"
"anu","tokens_a_1010.csv"
"ánud","tokens_a_1011.csv"
"anugas","tokens_a_1012.csv"
"anúgun","tokens_a_1013.csv"
"anugut","tokens_a_1014.csv"
"anúhus","tokens_a_1015.csv"
"*anuk, *ánuk","tokens_a_1016.csv"
"anular","tokens_a_1017.csv"
"anumalíya","tokens_a_1018.csv"
"-anun","tokens_a_1019.csv"
"abughu, abughù","tokens_a_102.csv"
"an-un","tokens_a_1020.csv"
"anúnang<sub>1</sub>","tokens_a_1021.csv"
"anúnang<sub>2</sub>","tokens_a_1022.csv"
"anúnas","tokens_a_1023.csv"
"anunimus","tokens_a_1024.csv"
"anunsiyu","tokens_a_1025.csv"
"anunugba","tokens_a_1026.csv"
"anunugbu","tokens_a_1027.csv"
"anupug","tokens_a_1028.csv"
"anup-up","tokens_a_1029.csv"
"abukádu","tokens_a_103.csv"
"ánur","tokens_a_1030.csv"
"anus-a","tokens_a_1031.csv"
"anut","tokens_a_1032.csv"
"anutasiyun","tokens_a_1033.csv"
"anúus","tokens_a_1034.csv"
"anuwal","tokens_a_1035.csv"
"anyag","tokens_a_1036.csv"
"anyil","tokens_a_1037.csv"
"anyu","tokens_a_1038.csv"
"anyus","tokens_a_1039.csv"
"abúkay","tokens_a_104.csv"
"apa","tokens_a_1040.csv"
"ápa","tokens_a_1041.csv"
"apáhap","tokens_a_1042.csv"
"apáli","tokens_a_1043.csv"
"apan<sub>1</sub>","tokens_a_1044.csv"
"apan<sub>2</sub>, apan-apan<sub>1</sub>","tokens_a_1045.csv"
"apan-apan<sub>2</sub>","tokens_a_1046.csv"
"ap-andawun","tokens_a_1047.csv"
"ap-ap","tokens_a_1048.csv"
"apapángig","tokens_a_1049.csv"
"abunansiya","tokens_a_105.csv"
"aparadur","tokens_a_1050.csv"
"aparátu","tokens_a_1051.csv"
"aparisyun","tokens_a_1052.csv"
"apartmin, apartmint","tokens_a_1053.csv"
"ápas","tokens_a_1054.csv"
"apat","tokens_a_1055.csv"
"ápaw","tokens_a_1056.csv"
"apay<sub>1</sub>","tokens_a_1057.csv"
"apay<sub>2</sub>","tokens_a_1058.csv"
"apáyud","tokens_a_1059.csv"
"abunda","tokens_a_106.csv"
"apdu","tokens_a_1060.csv"
"ápid","tokens_a_1061.csv"
"apidábit","tokens_a_1062.csv"
"apíki","tokens_a_1063.csv"
"apikta","tokens_a_1064.csv"
"apiktǎr","tokens_a_1065.csv"
"apil","tokens_a_1066.csv"
"apilar","tokens_a_1067.csv"
"apílu","tokens_a_1068.csv"
"apilyídu","tokens_a_1069.csv"
"abundansiya","tokens_a_107.csv"
"apindiks","tokens_a_1070.csv"
"apindisaytis","tokens_a_1071.csv"
"áping","tokens_a_1072.csv"
"apínig","tokens_a_1073.csv"
"apir","tokens_a_1074.csv"
"ápir","tokens_a_1075.csv"
"ápir baks","tokens_a_1076.csv"
"ápir kat","tokens_a_1077.csv"
"apirmatíbu","tokens_a_1078.csv"
"apisiyun","tokens_a_1079.csv"
"ábung<sub>1</sub>","tokens_a_108.csv"
"apítung","tokens_a_1080.csv"
"apla","tokens_a_1081.csv"
"aplay","tokens_a_1082.csv"
"áp lay","tokens_a_1083.csv"
"aplikasiyun","tokens_a_1084.csv"
"aplud","tokens_a_1085.csv"
"Aprika","tokens_a_1086.csv"
"aprindis, aprintis","tokens_a_1087.csv"
"apríta","tokens_a_1088.csv"
"apritáda","tokens_a_1089.csv"
"abungaw<sub>1</sub>","tokens_a_109.csv"
"aprubar","tokens_a_1090.csv"
"aptan","tokens_a_1091.csv"
"apu","tokens_a_1092.csv"
"ápù","tokens_a_1093.csv"
"apud","tokens_a_1094.csv"
"ápud","tokens_a_1095.csv"
"ápug<sub>1</sub>","tokens_a_1096.csv"
"ápug<sub>2</sub>","tokens_a_1097.csv"
"ápul<sub>1</sub>","tokens_a_1098.csv"
"ápul<sub>2</sub>","tokens_a_1099.csv"
"ab-ab","tokens_a_11.csv"
"abungaw<sub>2</sub>","tokens_a_110.csv"
"apung","tokens_a_1100.csv"
"ápung","tokens_a_1101.csv"
"apuntadur","tokens_a_1102.csv"
"apuntasiyun","tokens_a_1103.csv"
"apunti","tokens_a_1104.csv"
"*apuntin","tokens_a_1105.csv"
"apúpa","tokens_a_1106.csv"
"apura","tokens_a_1107.csv"
"apúru","tokens_a_1108.csv"
"apus","tokens_a_1109.csv"
"abúnu","tokens_a_111.csv"
"apustrupi","tokens_a_1110.csv"
"apustǔl<sub>1</sub>","tokens_a_1111.csv"
"apustǔl<sub>2</sub>","tokens_a_1112.csv"
"apustulis","tokens_a_1113.csv"
"apuwintmint","tokens_a_1114.csv"
"apuy","tokens_a_1115.csv"
"apúya","tokens_a_1116.csv"
"apuyus","tokens_a_1117.csv"
"apyu","tokens_a_1118.csv"
"apyug","tokens_a_1119.csv"
"aburídu","tokens_a_112.csv"
"árà","tokens_a_1120.csv"
"árab<sub>1</sub>","tokens_a_1121.csv"
"árab<sub>2</sub>","tokens_a_1122.csv"
"arabi","tokens_a_1123.csv"
"arabun","tokens_a_1124.csv"
"arabya","tokens_a_1125.csv"
"aradur","tokens_a_1126.csv"
"árag","tokens_a_1127.csv"
"arang","tokens_a_1128.csv"
"árang","tokens_a_1129.csv"
"abusáda","tokens_a_113.csv"
"arangka<sub>1</sub>","tokens_a_1130.csv"
"arangka<sub><span class=""corr"" id=""xd20e29637"" title=""Source: 3"">2</span></sub>, arangkǎr","tokens_a_1131.csv"
"aransil","tokens_a_1132.csv"
"aranya, aranyas","tokens_a_1133.csv"
"arapal","tokens_a_1134.csv"
"aráru","tokens_a_1135.csv"
"áras<sub>1</sub>","tokens_a_1136.csv"
"áras<sub>2</sub>","tokens_a_1137.csv"
"áras<sub>3</sub>","tokens_a_1138.csv"
"*arasti","tokens_a_1139.csv"
"abusádu","tokens_a_114.csv"
"arastri","tokens_a_1140.csv"
"árat<sub>1</sub>","tokens_a_1141.csv"
"árat<sub>2</sub>","tokens_a_1142.csv"
"arawkarya","tokens_a_1143.csv"
"aray<sub>1</sub>","tokens_a_1144.csv"
"aray<sub>2</sub>","tokens_a_1145.csv"
"arayis","tokens_a_1146.csv"
"arbul<sub>1</sub>","tokens_a_1147.csv"
"arbul<sub>2</sub>","tokens_a_1148.csv"
"arbularyu","tokens_a_1149.csv"
"abusar","tokens_a_115.csv"
"argabyádu","tokens_a_1150.csv"
"argabyu","tokens_a_1151.csv"
"argardulsi","tokens_a_1152.csv"
"argh","tokens_a_1153.csv"
"argulya","tokens_a_1154.csv"
"argumintu","tokens_a_1155.csv"
"ari","tokens_a_1156.csv"
"ári<sub>2</sub>","tokens_a_1157.csv"
"aríba<sub>1</sub>","tokens_a_1158.csv"
"aríba<sub>2</sub>","tokens_a_1159.csv"
"abúsu","tokens_a_116.csv"
"aríba<sub>3</sub>","tokens_a_1160.csv"
"aribáda","tokens_a_1161.csv"
"arigláda","tokens_a_1162.csv"
"arigládu","tokens_a_1163.csv"
"ariglǎr","tokens_a_1164.csv"
"ariglu","tokens_a_1165.csv"
"arikmitik","tokens_a_1166.csv"
"arimadur","tokens_a_1167.csv"
"arimar","tokens_a_1168.csv"
"arína","tokens_a_1169.csv"
"abut","tokens_a_117.csv"
"arindu","tokens_a_1170.csv"
"aringkil","tokens_a_1171.csv"
"arinúla","tokens_a_1172.csv"
"*arisgǎr","tokens_a_1173.csv"
"aristǎr","tokens_a_1174.csv"
"*aristu","tokens_a_1175.csv"
"aristukrata","tokens_a_1176.csv"
"árit","tokens_a_1177.csv"
"arítis","tokens_a_1178.csv"
"aritmitik","tokens_a_1179.csv"
"abwag","tokens_a_118.csv"
"aritmitika, aritmitiku","tokens_a_1180.csv"
"arítus","tokens_a_1181.csv"
"aríya<sub>1</sub>","tokens_a_1182.csv"
"aríya<sub>2</sub>","tokens_a_1183.csv"
"ariyádu","tokens_a_1184.csv"
"ariyus","tokens_a_1185.csv"
"ark","tokens_a_1186.csv"
"arka","tokens_a_1187.csv"
"arkabála","tokens_a_1188.csv"
"arkanghil","tokens_a_1189.csv"
"abyadur","tokens_a_119.csv"
"arkaydi","tokens_a_1190.csv"
"arkila","tokens_a_1191.csv"
"arkitiktu","tokens_a_1192.csv"
"arku","tokens_a_1193.csv"
"arkuhul","tokens_a_1194.csv"
"arkus","tokens_a_1195.csv"
"armáda","tokens_a_1196.csv"
"armádu","tokens_a_1197.csv"
"armamintu","tokens_a_1198.csv"
"armar","tokens_a_1199.csv"
"abad","tokens_a_12.csv"
"abyan","tokens_a_120.csv"
"armas","tokens_a_1200.csv"
"armatyur","tokens_a_1201.csv"
"armi","tokens_a_1202.csv"
"armikat","tokens_a_1203.csv"
"armirul","tokens_a_1204.csv"
"armistisyu","tokens_a_1205.csv"
"armunyum, armunyun","tokens_a_1206.csv"
"arníbal","tokens_a_1207.csv"
"arnika<sub>1</sub>","tokens_a_1208.csv"
"arnika<sub>2</sub>","tokens_a_1209.csv"
"abyasiyun, abyasyun","tokens_a_121.csv"
"arnis","tokens_a_1210.csv"
"arpa","tokens_a_1211.csv"
"arpilir, arpiril","tokens_a_1212.csv"
"arsa","tokens_a_1213.csv"
"arsii","tokens_a_1214.csv"
"arsubispu","tokens_a_1215.csv"
"art.","tokens_a_1216.csv"
"artal","tokens_a_1217.csv"
"arti","tokens_a_1218.csv"
"artikulu","tokens_a_1219.csv"
"abyirtu<sub>1</sub>","tokens_a_122.csv"
"artiliyiríya","tokens_a_1220.csv"
"artipisyal","tokens_a_1221.csv"
"artista","tokens_a_1222.csv"
"*artisyánu","tokens_a_1223.csv"
"*árù","tokens_a_1224.csv"
"aruk","tokens_a_1225.csv"
"arul","tokens_a_1226.csv"
"arúma","tokens_a_1227.csv"
"arun<sub>1</sub>","tokens_a_1228.csv"
"arun<sub>2</sub>","tokens_a_1229.csv"
"abyirtu<sub>2</sub>","tokens_a_123.csv"
"árun","tokens_a_1230.csv"
"arunsa","tokens_a_1231.csv"
"arus<sub>1</sub>","tokens_a_1232.csv"
"*arus<sub>2</sub>","tokens_a_1233.csv"
"ar-utísi","tokens_a_1234.csv"
"aruwákà","tokens_a_1235.csv"
"aruy","tokens_a_1236.csv"
"arya","tokens_a_1237.csv"
"aryat","tokens_a_1238.csv"
"aryindu","tokens_a_1239.csv"
"abyug","tokens_a_124.csv"
"asa","tokens_a_1240.csv"
"ása<sub>1</sub>","tokens_a_1241.csv"
"ása<sub>2</sub>","tokens_a_1242.csv"
"ása<sub>3</sub>","tokens_a_1243.csv"
"asádu","tokens_a_1244.csv"
"asal","tokens_a_1245.csv"
"asamblíya","tokens_a_1246.csv"
"as-as","tokens_a_1247.csv"
"asáwa","tokens_a_1248.csv"
"asayti","tokens_a_1249.csv"
"A.D.","tokens_a_125.csv"
"asbistus","tokens_a_1250.csv"
"asdang","tokens_a_1251.csv"
"asgad","tokens_a_1252.csv"
"ási","tokens_a_1253.csv"
"asidu","tokens_a_1254.csv"
"asikásu","tokens_a_1255.csv"
"asiláda","tokens_a_1256.csv"
"asílu","tokens_a_1257.csv"
"asíman","tokens_a_1258.csv"
"asin","tokens_a_1259.csv"
"ád<sub>1</sub>","tokens_a_126.csv"
"asin-ásin","tokens_a_1260.csv"
"asinda","tokens_a_1261.csv"
"asinsiyun","tokens_a_1262.csv"
"asinsu","tokens_a_1263.csv"
"*as-ip","tokens_a_1264.csv"
"asir","tokens_a_1265.csv"
"asíras","tokens_a_1266.csv"
"asiráwu","tokens_a_1267.csv"
"asíru","tokens_a_1268.csv"
"asistinsiya","tokens_a_1269.csv"
"ád<sub>2</sub>","tokens_a_127.csv"
"asistǐr","tokens_a_1270.csv"
"asíti","tokens_a_1271.csv"
"asitíra","tokens_a_1272.csv"
"asitun","tokens_a_1273.csv"
"aslay","tokens_a_1274.csv"
"aslum","tokens_a_1275.csv"
"asnat","tokens_a_1276.csv"
"asnu","tokens_a_1277.csv"
"aspaltu","tokens_a_1278.csv"
"asparagus","tokens_a_1279.csv"
"ada","tokens_a_128.csv"
"aspíra ultima","tokens_a_1280.csv"
"aspiranti","tokens_a_1281.csv"
"aspirasiyun","tokens_a_1282.csv"
"aspirin, aspirína","tokens_a_1283.csv"
"asta","tokens_a_1284.csv"
"astri","tokens_a_1285.csv"
"astrunawta","tokens_a_1286.csv"
"astrunumíya","tokens_a_1287.csv"
"astrunumu","tokens_a_1288.csv"
"astrunut","tokens_a_1289.csv"
"áda","tokens_a_129.csv"
"asu","tokens_a_1290.csv"
"ásud","tokens_a_1291.csv"
"asúgi","tokens_a_1292.csv"
"asúkal","tokens_a_1293.csv"
"asúkar","tokens_a_1294.csv"
"asul","tokens_a_1295.csv"
"asunting","tokens_a_1296.csv"
"asuntu","tokens_a_1297.csv"
"asupli","tokens_a_1298.csv"
"asupri","tokens_a_1299.csv"
"ábag","tokens_a_13.csv"
"adá","tokens_a_130.csv"
"asus","tokens_a_1300.csv"
"asusasiyun","tokens_a_1301.csv"
"asusíluy","tokens_a_1302.csv"
"asusína","tokens_a_1303.csv"
"asusínas","tokens_a_1304.csv"
"asusisyun","tokens_a_1305.csv"
"asusyit","tokens_a_1306.csv"
"asutíya","tokens_a_1307.csv"
"asúus","tokens_a_1308.csv"
"ásuy","tokens_a_1309.csv"
"ad-ad","tokens_a_131.csv"
"aswang","tokens_a_1310.csv"
